Date : 2023-09-14 00:31:43
Directory : d:\Coding\ProjectFullStack\Twinki-social
Total : 151 files,  2655 codes, 145 comments, 493 blanks, all 3293 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| client\src\widgets                                                                                               |          5 |         98 |          0 |         16 |        114 |
| client\src\widgets\modal-auth                                                                                    |          5 |         98 |          0 |         16 |        114 |
| client\src\widgets\modal-auth (Files)                                                                            |          2 |         15 |          0 |          4 |         19 |
| client\src\widgets\modal-auth\login                                                                              |          1 |         29 |          0 |          2 |         31 |
| client\src\widgets\modal-auth\password-reset                                                                     |          1 |          7 |          0 |          1 |          8 |
| client\src\widgets\modal-auth\register                                                                           |          1 |         47 |          0 |          9 |         56 |
| server                                                                                                           |         37 |      1,100 |         97 |        193 |      1,390 |
| server (Files)                                                                                                   |          4 |        101 |         12 |          4 |        117 |
| server\prisma                                                                                                    |          3 |        158 |         52 |         46 |        256 |
| server\prisma\migrations                                                                                         |          3 |        158 |         52 |         46 |        256 |
| server\prisma\migrations\20230814082206_init                                                                     |          1 |        136 |         23 |         36 |        195 |
| server\prisma\migrations\20230814101552_add_types                                                                |          1 |         20 |         27 |          8 |         55 |
| server\prisma\migrations\20230814230603_fix_user_session                                                         |          1 |          2 |          2 |          2 |          6 |
| server\src                                                                                                       |         30 |        841 |         33 |        143 |      1,017 |
| server\src\application                                                                                           |          2 |         76 |          1 |         14 |         91 |
| server\src\domain                                                                                                |          4 |        106 |         24 |         30 |        160 |
| server\src\domain\auth                                                                                           |          2 |         43 |         14 |         17 |         74 |
| server\src\domain\user                                                                                           |          2 |         63 |         10 |         13 |         86 |
| server\src\infrastructure                                                                                        |         24 |        659 |          8 |         99 |        766 |
| server\src\infrastructure (Files)                                                                                |          1 |         19 |          0 |          7 |         26 |
| server\src\infrastructure\api                                                                                    |          8 |        219 |          3 |         35 |        257 |
| server\src\infrastructure\api (Files)                                                                            |          2 |         40 |          0 |         12 |         52 |
| server\src\infrastructure\api\auth                                                                               |          3 |        132 |          1 |         17 |        150 |
| server\src\infrastructure\api\user                                                                               |          3 |         47 |          2 |          6 |         55 |
| server\src\infrastructure\db                                                                                     |          4 |        250 |          0 |         23 |        273 |
| server\src\infrastructure\db\auth                                                                                |          2 |        154 |          0 |         13 |        167 |
| server\src\infrastructure\db\user                                                                                |          2 |         96 |          0 |         10 |        106 |
| server\src\infrastructure\helpers                                                                                |          4 |         44 |          5 |         10 |         59 |
| server\src\infrastructure\middlewares                                                                            |          5 |         56 |          0 |         14 |         70 |
| server\src\infrastructure\services                                                                               |          2 |         71 |          0 |         10 |         81 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Coding\ProjectFullStack\Twinki-social\README.md                                                               | Markdown           |          1 |          0 |          0 |          1 |
| d:\Coding\ProjectFullStack\Twinki-social\client\.env                                                             | Properties         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\.eslintrc.cjs                                                    | JavaScript         |         23 |          0 |          2 |         25 |
| d:\Coding\ProjectFullStack\Twinki-social\client\index.html                                                       | HTML               |         13 |          0 |          1 |         14 |
| d:\Coding\ProjectFullStack\Twinki-social\client\jsconfig.json                                                    | JSON with Comments |          6 |         23 |          0 |         29 |
| d:\Coding\ProjectFullStack\Twinki-social\client\package.json                                                     | JSON               |         40 |          0 |          1 |         41 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\app\index.jsx                                                | JavaScript JSX     |          6 |          0 |          2 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\app\providers\RouterProvider.jsx                             | JavaScript JSX     |         50 |         17 |          9 |         76 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\app\providers\index.jsx                                      | JavaScript JSX     |         17 |          0 |          2 |         19 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\app\store\index.js                                           | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\app\store\store.js                                           | JavaScript         |         22 |          0 |          4 |         26 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\app\style.scss                                               | SCSS               |        217 |          1 |         60 |        278 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\entities\session\api\index.js                                | JavaScript         |          3 |          0 |          3 |          6 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\entities\session\api\sessionApi.js                           | JavaScript         |         10 |          0 |          2 |         12 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\entities\session\index.js                                    | JavaScript         |          0 |          0 |          1 |          1 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\entities\session\model\index.js                              | JavaScript         |          3 |          0 |          1 |          4 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\entities\session\model\sessionSlice.js                       | JavaScript         |         24 |          0 |          3 |         27 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\invalidateAccessToken\index.js                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\invalidateAccessToken\model\listener.js        | JavaScript         |         13 |          0 |          4 |         17 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\login\api\loginApi.js                          | JavaScript         |         12 |          0 |          2 |         14 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\login\index.js                                 | JavaScript         |          3 |          0 |          2 |          5 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\login\model\updateToken.js                     | JavaScript         |         23 |          0 |          2 |         25 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\login\ui\LoginWrapper.jsx                      | JavaScript JSX     |         43 |          0 |          4 |         47 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\logout\api\index.js                            | JavaScript         |          3 |          0 |          3 |          6 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\logout\api\logoutApi.js                        | JavaScript         |         12 |          0 |          2 |         14 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\logout\index.js                                | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\logout\model\logout.js                         | JavaScript         |         20 |          0 |          1 |         21 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\logout\ui\LogoutButton.jsx                     | JavaScript JSX     |         14 |          0 |          2 |         16 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\api\index.js                          | JavaScript         |          2 |          0 |          2 |          4 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\api\registerApi.js                    | JavaScript         |         26 |          0 |          2 |         28 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\index.js                              | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\fifth-step\FifthStep.jsx           | JavaScript JSX     |         39 |          0 |          5 |         44 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\first-step\FirstStep.jsx           | JavaScript JSX     |         32 |          0 |          3 |         35 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\fourth-step\FourthStep.jsx         | JavaScript JSX     |         29 |          0 |          2 |         31 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\index.js                           | JavaScript         |          7 |          0 |          1 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\second-step\SecondStep.jsx         | JavaScript JSX     |         13 |          0 |          2 |         15 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\seven-step\SevenStep.jsx           | JavaScript JSX     |         11 |          0 |          2 |         13 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\six-step\SixStep.jsx               | JavaScript JSX     |         13 |          0 |          3 |         16 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\third-step\ThirdStep.jsx           | JavaScript JSX     |         24 |          0 |          2 |         26 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\api\index.js                                   | JavaScript         |          0 |          0 |          1 |          1 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\api\testApi.js                                 | JavaScript         |         26 |          0 |          2 |         28 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\index.js                                       | JavaScript         |          0 |          0 |          1 |          1 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\model\index.js                                 | JavaScript         |          0 |          0 |          1 |          1 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\model\testSlice.js                             | JavaScript         |          0 |          0 |          1 |          1 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\ui\Test.jsx                                    | JavaScript JSX     |          7 |          0 |          1 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\auth\AuthPage.jsx                                      | JavaScript JSX     |         14 |          0 |          4 |         18 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\auth\index.js                                          | JavaScript         |          2 |          0 |          2 |          4 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\home\HomePage.jsx                                      | JavaScript JSX     |         13 |          0 |          2 |         15 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\home\index.js                                          | JavaScript         |          2 |          0 |          2 |          4 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\index.js                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\main-layout\components\Aside.jsx               | JavaScript JSX     |          7 |          0 |          1 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\main-layout\components\Footer.jsx              | JavaScript JSX     |          7 |          0 |          1 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\main-layout\components\Header.jsx              | JavaScript JSX     |          7 |          0 |          1 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\main-layout\index.jsx                          | JavaScript JSX     |         14 |          0 |          2 |         16 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\page-404\Page404.jsx                                   | JavaScript JSX     |          7 |          0 |          1 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\page-404\index.js                                      | JavaScript         |          2 |          0 |          1 |          3 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\test\TestPage.jsx                                      | JavaScript JSX     |         18 |          0 |          2 |         20 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\test\index.js                                          | JavaScript         |          2 |          0 |          2 |          4 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\welcome\WelcomePage.jsx                                | JavaScript JSX     |         25 |          0 |          3 |         28 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\welcome\index.js                                       | JavaScript         |          2 |          0 |          2 |          4 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\api.js                                   | JavaScript         |          7 |          0 |          2 |          9 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\baseQuery.js                             | JavaScript         |         13 |          0 |          2 |         15 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\baseQueryWithReauth.js                   | JavaScript         |         13 |          0 |          3 |         16 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\index.js                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\invalidateTokenEvent.js                  | JavaScript         |          4 |          0 |          2 |          6 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\index.js                                          | JavaScript         |          2 |          1 |          2 |          5 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\internal\api.js                                   | JavaScript         |         49 |          0 |          9 |         58 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\internal\config.js                                | JavaScript         |         27 |          1 |          4 |         32 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\internal\index.js                                 | JavaScript         |          2 |          0 |          2 |          4 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\config\locales\en\translation.json                    | JSON               |          3 |          0 |          0 |          3 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\config\locales\index.js                               | JavaScript         |          4 |          0 |          2 |          6 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\config\locales\ru\translation.json                    | JSON               |          3 |          0 |          0 |          3 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\config\locales\ua\translation.json                    | JSON               |          3 |          0 |          0 |          3 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\i18n\i18n.js                                          | JavaScript         |         23 |          0 |          3 |         26 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\i18n\index.js                                         | JavaScript         |          2 |          0 |          2 |          4 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\debounce\index.js                                 | JavaScript         |          2 |          0 |          2 |          4 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\debounce\useDebounce.jsx                          | JavaScript JSX     |         12 |          0 |          2 |         14 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\modal\index.js                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\modal\useModal.jsx                                | JavaScript JSX     |         22 |          0 |          5 |         27 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\notify\index.js                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\notify\useNotify.jsx                              | JavaScript JSX     |         59 |          1 |          6 |         66 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\redux\index.js                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\redux\redux.js                                    | JavaScript         |          3 |          0 |          2 |          5 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\check-route\CheckRoute.jsx                         | JavaScript JSX     |          7 |          0 |          2 |          9 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\check-route\index.js                               | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\form-field\FormField.jsx                           | JavaScript JSX     |         34 |          0 |          6 |         40 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\form-field\index.js                                | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\full-page-wrapper\FullPageWrapper.jsx              | JavaScript JSX     |          5 |          0 |          2 |          7 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\full-page-wrapper\full-page-wrapper.module.css     | CSS                |         10 |          0 |          1 |         11 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\full-page-wrapper\index.js                         | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\input-form\InputForm.jsx                           | JavaScript JSX     |          4 |          0 |          1 |          5 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\input-form\index.js                                | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\input-global\InputGlobal.jsx                       | JavaScript JSX     |          5 |          1 |          2 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\input-global\index.js                              | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\loadable\Loadable.jsx                              | JavaScript JSX     |         18 |          0 |          2 |         20 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\loadable\index.js                                  | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\modal\Modal.jsx                                    | JavaScript JSX     |         10 |          0 |          2 |         12 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\modal\Modal.scss                                   | SCSS               |         23 |          0 |          3 |         26 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\modal\index.js                                     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\multi-step-button\MultiStepButton.jsx              | JavaScript JSX     |         19 |          0 |          4 |         23 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\multi-step-button\MultiStepButton.scss             | SCSS               |         21 |          1 |          3 |         25 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\multi-step-button\index.js                         | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\navigation-modal-button\NavigationModalButton.jsx  | JavaScript JSX     |         16 |          0 |          3 |         19 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\navigation-modal-button\NavigationModalButton.scss | SCSS               |         21 |          1 |          3 |         25 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\navigation-modal-button\index.js                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\spinner\Spinner.jsx                                | JavaScript JSX     |         11 |          0 |          2 |         13 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\spinner\index.js                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\spinner\spinner.module.css                         | CSS                |         35 |          0 |          6 |         41 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\widgets\modal-auth\ModalAuth.jsx                             | JavaScript JSX     |         10 |          0 |          2 |         12 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\widgets\modal-auth\index.js                                  | JavaScript         |          5 |          0 |          2 |          7 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\widgets\modal-auth\login\Login.jsx                           | JavaScript JSX     |         29 |          0 |          2 |         31 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\widgets\modal-auth\password-reset\PasswordReset.jsx          | JavaScript JSX     |          7 |          0 |          1 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\client\src\widgets\modal-auth\register\Register.jsx                     | JavaScript JSX     |         47 |          0 |          9 |         56 |
| d:\Coding\ProjectFullStack\Twinki-social\client\vite.config.js                                                   | JavaScript         |         16 |          1 |          2 |         19 |
| d:\Coding\ProjectFullStack\Twinki-social\server\.eslintrc.js                                                     | JavaScript         |         28 |          0 |          1 |         29 |
| d:\Coding\ProjectFullStack\Twinki-social\server\index.js                                                         | JavaScript         |          6 |          0 |          2 |          8 |
| d:\Coding\ProjectFullStack\Twinki-social\server\jsconfig.json                                                    | JSON with Comments |          6 |         12 |          0 |         18 |
| d:\Coding\ProjectFullStack\Twinki-social\server\package.json                                                     | JSON               |         61 |          0 |          1 |         62 |
| d:\Coding\ProjectFullStack\Twinki-social\server\prisma\migrations\20230814082206_init\migration.sql              | SQL                |        136 |         23 |         36 |        195 |
| d:\Coding\ProjectFullStack\Twinki-social\server\prisma\migrations\20230814101552_add_types\migration.sql         | SQL                |         20 |         27 |          8 |         55 |
| d:\Coding\ProjectFullStack\Twinki-social\server\prisma\migrations\20230814230603_fix_user_session\migration.sql  | SQL                |          2 |          2 |          2 |          6 |
